S_d, S_n, Mean, Max, Mask Mean, Mask Max, Inv Mask Mean, Inv Mask Max, AUC
0.83, 0.83, 0.213, 0.987, 0.217, 0.956, 0.212, 0.987, 0.512
0.83, 1.67, 0.252, 0.978, 0.235, 0.975, 0.256, 0.978, 0.464
0.83, 2.50, 0.249, 0.970, 0.238, 0.923, 0.252, 0.970, 0.480
0.83, 3.33, 0.236, 0.955, 0.235, 0.928, 0.236, 0.955, 0.508
0.83, 4.17, 0.223, 0.922, 0.228, 0.915, 0.221, 0.922, 0.524
0.83, 5.00, 0.210, 0.906, 0.218, 0.906, 0.208, 0.898, 0.531
0.83, 5.83, 0.200, 0.859, 0.208, 0.859, 0.197, 0.850, 0.532
0.83, 6.67, 0.190, 0.800, 0.199, 0.800, 0.188, 0.796, 0.531
0.83, 7.50, 0.182, 0.791, 0.191, 0.791, 0.180, 0.749, 0.530
0.83, 8.33, 0.176, 0.747, 0.184, 0.747, 0.174, 0.730, 0.529
1.67, 0.83, 0.151, 0.978, 0.140, 0.954, 0.154, 0.978, 0.455
1.67, 1.67, 0.225, 0.969, 0.203, 0.944, 0.231, 0.969, 0.435
1.67, 2.50, 0.238, 0.978, 0.229, 0.920, 0.240, 0.978, 0.471
1.67, 3.33, 0.228, 0.986, 0.241, 0.958, 0.225, 0.986, 0.532
1.67, 4.17, 0.218, 0.960, 0.246, 0.949, 0.211, 0.960, 0.580
1.67, 5.00, 0.211, 0.953, 0.248, 0.947, 0.201, 0.953, 0.607
1.67, 5.83, 0.206, 0.935, 0.246, 0.921, 0.195, 0.935, 0.620
1.67, 6.67, 0.202, 0.920, 0.243, 0.908, 0.191, 0.920, 0.624
1.67, 7.50, 0.198, 0.898, 0.238, 0.893, 0.188, 0.898, 0.621
1.67, 8.33, 0.195, 0.875, 0.233, 0.875, 0.185, 0.874, 0.614
2.50, 0.83, 0.105, 0.976, 0.084, 0.969, 0.111, 0.976, 0.398
2.50, 1.67, 0.188, 0.987, 0.157, 0.961, 0.196, 0.987, 0.401
2.50, 2.50, 0.220, 0.985, 0.205, 0.965, 0.225, 0.985, 0.443
2.50, 3.33, 0.230, 0.976, 0.242, 0.944, 0.226, 0.976, 0.514
2.50, 4.17, 0.234, 0.985, 0.271, 0.965, 0.224, 0.985, 0.581
2.50, 5.00, 0.239, 0.959, 0.293, 0.951, 0.225, 0.959, 0.628
2.50, 5.83, 0.245, 0.938, 0.309, 0.920, 0.229, 0.938, 0.655
2.50, 6.67, 0.252, 0.898, 0.319, 0.884, 0.234, 0.898, 0.667
2.50, 7.50, 0.258, 0.898, 0.325, 0.842, 0.240, 0.898, 0.668
2.50, 8.33, 0.263, 0.883, 0.327, 0.825, 0.246, 0.883, 0.664
3.33, 0.83, 0.072, 0.973, 0.058, 0.968, 0.076, 0.973, 0.406
3.33, 1.67, 0.150, 0.990, 0.129, 0.981, 0.156, 0.990, 0.422
3.33, 2.50, 0.194, 0.983, 0.187, 0.977, 0.196, 0.983, 0.463
3.33, 3.33, 0.219, 0.992, 0.235, 0.973, 0.215, 0.992, 0.520
3.33, 4.17, 0.238, 0.985, 0.276, 0.962, 0.228, 0.985, 0.573
3.33, 5.00, 0.256, 0.964, 0.310, 0.956, 0.242, 0.964, 0.611
3.33, 5.83, 0.275, 0.954, 0.336, 0.945, 0.259, 0.954, 0.631
3.33, 6.67, 0.293, 0.937, 0.356, 0.937, 0.276, 0.929, 0.638
3.33, 7.50, 0.309, 0.945, 0.370, 0.919, 0.293, 0.945, 0.636
3.33, 8.33, 0.323, 0.934, 0.380, 0.903, 0.308, 0.934, 0.628
4.17, 0.83, 0.050, 0.989, 0.044, 0.979, 0.051, 0.989, 0.448
4.17, 1.67, 0.118, 0.985, 0.111, 0.980, 0.119, 0.985, 0.466
4.17, 2.50, 0.167, 0.987, 0.171, 0.987, 0.165, 0.981, 0.497
4.17, 3.33, 0.202, 0.984, 0.223, 0.984, 0.196, 0.976, 0.538
4.17, 4.17, 0.230, 0.985, 0.269, 0.985, 0.220, 0.981, 0.575
4.17, 5.00, 0.256, 0.973, 0.306, 0.973, 0.242, 0.961, 0.600
4.17, 5.83, 0.281, 0.969, 0.337, 0.969, 0.266, 0.960, 0.613
4.17, 6.67, 0.305, 0.957, 0.362, 0.957, 0.290, 0.956, 0.615
4.17, 7.50, 0.327, 0.954, 0.381, 0.954, 0.313, 0.935, 0.609
4.17, 8.33, 0.347, 0.947, 0.395, 0.947, 0.334, 0.935, 0.597
5.00, 0.83, 0.036, 0.987, 0.037, 0.964, 0.036, 0.987, 0.491
5.00, 1.67, 0.094, 0.989, 0.097, 0.989, 0.093, 0.987, 0.505
5.00, 2.50, 0.144, 0.989, 0.157, 0.989, 0.140, 0.981, 0.528
5.00, 3.33, 0.183, 0.988, 0.211, 0.988, 0.175, 0.981, 0.556
5.00, 4.17, 0.215, 0.988, 0.257, 0.988, 0.204, 0.973, 0.583
5.00, 5.00, 0.245, 0.984, 0.296, 0.984, 0.232, 0.976, 0.600
5.00, 5.83, 0.273, 0.979, 0.329, 0.979, 0.259, 0.964, 0.609
5.00, 6.67, 0.300, 0.981, 0.356, 0.981, 0.285, 0.965, 0.610
5.00, 7.50, 0.325, 0.974, 0.378, 0.974, 0.310, 0.961, 0.603
5.00, 8.33, 0.347, 0.968, 0.395, 0.968, 0.335, 0.954, 0.591
5.83, 0.83, 0.028, 0.990, 0.032, 0.984, 0.027, 0.990, 0.526
5.83, 1.67, 0.078, 0.985, 0.087, 0.985, 0.075, 0.979, 0.536
5.83, 2.50, 0.125, 0.993, 0.145, 0.993, 0.120, 0.982, 0.553
5.83, 3.33, 0.165, 0.986, 0.197, 0.986, 0.156, 0.983, 0.573
5.83, 4.17, 0.199, 0.989, 0.243, 0.989, 0.187, 0.978, 0.592
5.83, 5.00, 0.230, 0.981, 0.283, 0.981, 0.216, 0.970, 0.605
5.83, 5.83, 0.259, 0.983, 0.316, 0.983, 0.244, 0.973, 0.611
5.83, 6.67, 0.286, 0.975, 0.344, 0.975, 0.271, 0.970, 0.611
5.83, 7.50, 0.312, 0.977, 0.367, 0.977, 0.297, 0.964, 0.605
5.83, 8.33, 0.337, 0.979, 0.387, 0.979, 0.323, 0.964, 0.594
6.67, 0.83, 0.023, 0.975, 0.027, 0.973, 0.022, 0.975, 0.553
6.67, 1.67, 0.066, 0.989, 0.078, 0.989, 0.063, 0.982, 0.560
6.67, 2.50, 0.110, 0.992, 0.133, 0.992, 0.103, 0.983, 0.572
6.67, 3.33, 0.148, 0.985, 0.183, 0.985, 0.139, 0.983, 0.586
6.67, 4.17, 0.182, 0.984, 0.227, 0.983, 0.170, 0.984, 0.600
6.67, 5.00, 0.213, 0.989, 0.266, 0.989, 0.199, 0.984, 0.608
6.67, 5.83, 0.242, 0.982, 0.299, 0.982, 0.227, 0.977, 0.612
6.67, 6.67, 0.269, 0.982, 0.327, 0.982, 0.254, 0.978, 0.611
6.67, 7.50, 0.296, 0.980, 0.351, 0.980, 0.281, 0.965, 0.606
6.67, 8.33, 0.320, 0.979, 0.371, 0.979, 0.307, 0.975, 0.596
7.50, 0.83, 0.019, 0.994, 0.024, 0.968, 0.018, 0.994, 0.571
7.50, 1.67, 0.057, 0.988, 0.070, 0.988, 0.053, 0.980, 0.577
7.50, 2.50, 0.097, 0.989, 0.121, 0.989, 0.090, 0.980, 0.585
7.50, 3.33, 0.134, 0.991, 0.168, 0.991, 0.125, 0.988, 0.594
7.50, 4.17, 0.167, 0.989, 0.211, 0.989, 0.155, 0.984, 0.603
7.50, 5.00, 0.197, 0.993, 0.248, 0.993, 0.184, 0.973, 0.608
7.50, 5.83, 0.225, 0.982, 0.280, 0.980, 0.211, 0.982, 0.611
7.50, 6.67, 0.252, 0.979, 0.308, 0.979, 0.238, 0.974, 0.609
7.50, 7.50, 0.278, 0.982, 0.331, 0.982, 0.263, 0.971, 0.604
7.50, 8.33, 0.302, 0.985, 0.351, 0.985, 0.289, 0.972, 0.594
8.33, 0.83, 0.016, 0.963, 0.021, 0.957, 0.015, 0.963, 0.584
8.33, 1.67, 0.050, 0.990, 0.063, 0.974, 0.046, 0.990, 0.588
8.33, 2.50, 0.087, 0.988, 0.110, 0.984, 0.080, 0.988, 0.593
8.33, 3.33, 0.122, 0.986, 0.155, 0.983, 0.113, 0.986, 0.599
8.33, 4.17, 0.154, 0.990, 0.196, 0.990, 0.143, 0.988, 0.604
8.33, 5.00, 0.183, 0.986, 0.231, 0.985, 0.170, 0.986, 0.607
8.33, 5.83, 0.210, 0.993, 0.261, 0.993, 0.196, 0.986, 0.608
8.33, 6.67, 0.236, 0.986, 0.288, 0.986, 0.222, 0.973, 0.606
8.33, 7.50, 0.260, 0.986, 0.310, 0.986, 0.246, 0.978, 0.601
8.33, 8.33, 0.283, 0.984, 0.329, 0.984, 0.270, 0.973, 0.592
